date,FUTU__load_f_scaled,FUTU__wind_f_scaled,FUTU__solar_f_scaled,CONS__wd_sin,CONS__wd_cos,CONS__ts_age,TARG__target_scaled
2018-12-25 00:00:00,-0.16818868374824728,-0.9646341661391606,-0.6107742265783459,0.781831,0.62349,0.0,-0.31660188727577254
2018-12-25 01:00:00,-0.5510362924377467,-0.9601789905296618,-0.6107742265783459,0.781831,0.62349,0.0,-0.28165935235033857
2018-12-25 02:00:00,-0.877672149057756,-0.9624065783344112,-0.6107742265783459,0.781831,0.62349,0.0,-0.3074259556265823
2018-12-25 03:00:00,-1.1336635064552982,-0.9668617539439102,-0.6107742265783459,0.781831,0.62349,0.0,-0.6498995265136019
2018-12-25 04:00:00,-1.3045776174773962,-0.9668617539439102,-0.6107742265783459,0.781831,0.62349,0.0,-0.7601954808095132
2018-12-25 05:00:00,-1.339520057953025,-0.9646341661391606,-0.6107742265783459,0.781831,0.62349,0.0,-0.6562948599575437
2018-12-25 06:00:00,-1.2954621982228842,-0.9534962271154136,-0.6107742265783459,0.781831,0.62349,0.0,-0.5680580682353947
2018-12-25 07:00:00,-1.259760139476046,-0.9356755246774182,-0.6107742265783459,0.781831,0.62349,0.0,-0.4769480789145337
2018-12-25 08:00:00,-1.0987210659796693,-0.9156272344346733,-0.6067297599159391,0.781831,0.62349,0.0,-0.7157990392706238
2018-12-25 09:00:00,-0.8282969614291499,-0.9044892954109263,-0.3590061768435289,0.781831,0.62349,0.0,-0.49205581668872456
2018-12-25 10:00:00,-0.4659590460623023,-0.9133996466299239,0.0019624727762688914,0.781831,0.62349,0.0,-0.32522165685578325
2018-12-25 11:00:00,-0.22212158100410928,-0.9379031124821676,0.08184068935880118,0.781831,0.62349,0.0,-0.41605360049882933
2018-12-25 12:00:00,-0.08311143737280298,-0.9668617539439102,0.25676387250789084,0.781831,0.62349,0.0,-0.5438671042758019
2018-12-25 13:00:00,-0.137044334628665,-0.9846824563819055,0.2547416391766875,0.781831,0.62349,0.0,-0.4719430445732163
2018-12-25 14:00:00,-0.3132757735492282,-0.9891376319914044,0.05251830605635262,0.781831,0.62349,0.0,-0.522920159770074
2018-12-25 15:00:00,-0.3641701977202529,-0.9802272807724066,-0.22553877698410787,0.781831,0.62349,0.0,-0.6313623937147446
2018-12-25 16:00:00,-0.38088179968685804,-0.9601789905296618,-0.5602183932982622,0.781831,0.62349,0.0,-0.4991926170590976
2018-12-25 17:00:00,-0.11349616822117595,-0.9312203490679193,-0.6107742265783459,0.781831,0.62349,0.0,-0.29380122241880396
2018-12-25 18:00:00,0.11287007659920263,-0.8955789441919285,-0.6107742265783459,0.781831,0.62349,0.0,-0.29380122241880396
2018-12-25 19:00:00,0.015638937884409152,-0.8688478905349354,-0.6107742265783459,0.781831,0.62349,0.0,-0.2909279187497672
2018-12-25 20:00:00,-0.1659098289346193,-0.85102718809694,-0.6107742265783459,0.781831,0.62349,0.0,-0.4000189495138558
2018-12-25 21:00:00,-0.29580455331141375,-0.8398892490731928,-0.6107742265783459,0.781831,0.62349,0.0,-0.4099363480894774
2018-12-25 22:00:00,-0.2737756234463433,-0.8287513100494458,-0.6107742265783459,0.781831,0.62349,0.0,-0.3323584218693814
2018-12-25 23:00:00,-0.06412098059256988,-0.8153857832209492,-0.6107742265783459,0.781831,0.62349,0.0,-0.26182462591264516
2018-12-26 00:00:00,-0.3482182140248571,-0.7262822710309722,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.32253376411432294
2018-12-26 01:00:00,-0.8943837510243612,-0.7285098588357216,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.5046610726490316
2018-12-26 02:00:00,-1.3167315098167454,-0.73519262224997,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.5969759501449403
2018-12-26 03:00:00,-1.407126084090655,-0.7441029734689676,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.6842858993698564
2018-12-26 04:00:00,-1.32280845598642,-0.7641512637117125,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.6938325114470999
2018-12-26 05:00:00,-1.0858075553691109,-0.8020202563924527,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.65379230743011
2018-12-26 06:00:00,-0.652825140779796,-0.8421168368779424,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.49168510090389633
2018-12-26 07:00:00,-0.2441505108691797,-0.866620302730186,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.4510887701745018
2018-12-26 08:00:00,0.3764576167088381,-0.8733030661444343,-0.6087519932471425,0.974928,-0.222521,0.6931471805599453,-0.39000891618799577
2018-12-26 09:00:00,0.5944680605459142,-0.8844410051681814,-0.41866206011402773,0.974928,-0.222521,0.6931471805599453,-0.31650918181198434
2018-12-26 10:00:00,0.746391714787779,-0.9111720588251745,-0.12746046042074544,0.974928,-0.222521,0.6931471805599453,-0.27924957600024297
2018-12-26 11:00:00,0.8345074342480605,-0.9468134637011653,-0.022304327198171298,0.974928,-0.222521,0.6931471805599453,-0.2967671608380792
2018-12-26 12:00:00,0.882363385334248,-0.9779996929676572,0.11722977265485979,0.974928,-0.222521,0.6931471805599453,-0.3062210674515345
2018-12-26 13:00:00,0.7661417898392213,-0.9958203954056526,0.09902967267402965,0.974928,-0.222521,0.6931471805599453,-0.4625817727099994
2018-12-26 14:00:00,0.6377663020048456,-1.0002755710151514,-0.07892686047186508,0.974928,-0.222521,0.6931471805599453,-0.47351868388986723
2018-12-26 15:00:00,0.6423240116321015,-0.9891376319914044,-0.3044058769010385,0.974928,-0.222521,0.6931471805599453,-0.46851368490532463
2018-12-26 16:00:00,0.6370066837336362,-0.9646341661391606,-0.5743740266166856,0.974928,-0.222521,0.6931471805599453,-0.428844196673163
2018-12-26 17:00:00,1.074546807950207,-0.9267651734584205,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.25672695682108926
2018-12-26 18:00:00,1.2773648863630964,-0.8844410051681814,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.293152425599386
2018-12-26 19:00:00,1.0016234539141118,-0.85102718809694,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.32068000840630734
2018-12-26 20:00:00,0.6164969904109845,-0.8332064856589446,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.39019429175879733
2018-12-26 21:00:00,0.2761880049092073,-0.8265237222446964,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.4121607842255463
2018-12-26 22:00:00,0.2549186933153462,-0.8109306076114504,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.3898235406171942
2018-12-26 23:00:00,0.4303905139647001,-0.7886547295639561,-0.6107742265783459,0.974928,-0.222521,0.6931471805599453,-0.36146171470650346
2018-12-27 00:00:00,-0.09906342106819879,-0.7708340271259607,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.4311613382730201
2018-12-27 01:00:00,-0.44696858928206923,-0.7841995539544573,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.47731879469936195
2018-12-27 02:00:00,-0.7796813920717532,-0.7975650807829539,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.5156906892926876
2018-12-27 03:00:00,-0.9847783252982707,-0.8131581954161998,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.5204176425994153
2018-12-27 04:00:00,-1.0197207657738996,-0.8287513100494458,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.5374718061886351
2018-12-27 05:00:00,-0.8936241327531518,-0.835434073463694,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.5117978730194046
2018-12-27 06:00:00,-0.5191323250469551,-0.8287513100494458,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.4806554842602403
2018-12-27 07:00:00,-0.08842876527126825,-0.819840958830448,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.36229592245349795
2018-12-27 08:00:00,0.5352178353915868,-0.8176133710256986,-0.6087519932471425,0.433884,-0.900969,1.0986122886681098,-0.35636404561494756
2018-12-27 09:00:00,0.7448724782453603,-0.8153857832209492,-0.5207848433397968,0.433884,-0.900969,1.0986122886681098,-0.297323252193709
2018-12-27 10:00:00,0.8747672026221547,-0.8332064856589446,-0.35395059351552055,0.433884,-0.900969,1.0986122886681098,-0.27118589777586205
2018-12-27 11:00:00,0.9195846806235048,-0.8755306539491837,-0.1891385770224476,0.433884,-0.900969,1.0986122886681098,-0.28555220398039644
2018-12-27 12:00:00,0.9233827719795514,-0.9200824100441722,-0.07892686047186508,0.433884,-0.900969,1.0986122886681098,-0.3546029953707202
2018-12-27 13:00:00,0.8056419399421062,-0.9579514027249124,-0.12746046042074544,0.433884,-0.900969,1.0986122886681098,-0.3651691554089849
2018-12-27 14:00:00,0.6818241617349864,-0.9846824563819055,-0.2771057269297933,0.433884,-0.900969,1.0986122886681098,-0.36044216674548235
2018-12-27 15:00:00,0.6977761454303822,-0.9913652197961538,-0.42068429344523106,0.433884,-0.900969,1.0986122886681098,-0.3363439082496777
2018-12-27 16:00:00,0.7099300377697314,-0.9824548685771561,-0.5945963599287191,0.433884,-0.900969,1.0986122886681098,-0.3260557938892279
2018-12-27 17:00:00,1.1573451995120232,-0.9601789905296618,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.3119676040760582
2018-12-27 18:00:00,1.3647209875521689,-0.9289927612631699,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.300567236290799
2018-12-27 19:00:00,1.0798641358486722,-0.9022617076061767,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.30724061541255565
2018-12-27 20:00:00,0.6734683607516838,-0.8933513563871791,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.3188263234118415
2018-12-27 21:00:00,0.3210054829105574,-0.8955789441919285,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.3877844446951519
2018-12-27 22:00:00,0.2860630424349285,-0.9022617076061767,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.3686911851838899
2018-12-27 23:00:00,0.45697715345702644,-0.9111720588251745,-0.6107742265783459,0.433884,-0.900969,1.0986122886681098,-0.44107870149186684
2018-12-28 00:00:00,-0.015505411235173136,-0.9000341198014273,-0.6107742265783459,-0.433884,-0.900969,1.3862943611198906,-0.43922501649740103
2018-12-28 01:00:00,-0.34593935921122915,-0.9200824100441722,-0.6107742265783459,-0.433884,-0.900969,1.3862943611198906,-0.5041976514004151
2018-12-28 02:00:00,-0.65966170522068,-0.9356755246774182,-0.6107742265783459,-0.433884,-0.900969,1.3862943611198906,-0.5117052029123913
